ENV	REP	GEN	FFT	MFT	ASI	EPP	GY
E1	1	1	66	62	4	12	1.91
E2	1	1	62	61	1	18	6.63
E3	1	1	69	66	3	13	3.63
E4	1	1	70	69	1	15	5.6
E5	1	1	63	50	13	7	0.97
E6	1	1	55	52	3	15	4.64
E7	1	1	54	51	3	13	4.5
E8	1	1	56	53	3	7	2.55
E1	2	1	65	63	2	12	3.6
E2	2	1	63	62	1	16	5.53
E3	2	1	70	67	3	13	3.38
E5	2	1	52	48	4	9	2.31
E6	2	1	53	50	3	14	6.05
E7	2	1	53	51	2	14	5.27
E1	3	1	68	62	6	9	1.61
E3	3	1	70	67	3	10	3.67
E7	3	1	56	52	4	14	5
E1	1	3	62	62	0	11	4.8
E2	1	3	70	68	2	19	7.42
E3	1	3	72	70	2	11	2.11
E4	1	3	68	67	1	15	8.21
E5	1	3	61	57	4	9	2.71
E6	1	3	54	52	2	13	5.67
E7	1	3	52	50	2	13	4.58
E8	1	3	51	49	2	12	5.45
E1	2	3	63	61	2	10	4.42
E2	2	3	67	65	2	20	7.41
E3	2	3	70	66	4	15	2.83
E5	2	3	51	47	4	11	3.64
E6	2	3	53	51	2	18	7.03
E7	2	3	51	49	2	10	3.9
E1	3	3	62	61	1	6	3.26
E3	3	3	69	67	2	16	4.41
E7	3	3	54	52	2	15	4.52
E1	1	4	61	62	-1	16	7.74
E2	1	4	65	67	-2	19	6.8
E3	1	4	67	65	2	11	3.87
E4	1	4	66	68	-2	19	9.18
E5	1	4	51	49	2	14	5.13
E6	1	4	53	51	2	16	6.63
E7	1	4	50	48	2	21	7.42
E8	1	4	49	47	2	19	6.95
E1	2	4	64	64	0	16	2.95
E2	2	4	68	68	0	20	8.05
E3	2	4	69	66	3	17	3.01
E5	2	4	51	46	5	5	1.52
E6	2	4	52	50	2	15	4.46
E7	2	4	52	49	3	18	3.61
E1	3	4	61	62	-1	14	3.97
E3	3	4	67	65	2	19	5.3
E7	3	4	52	49	3	19	5.89
E1	1	8	62	61	1	17	4.97
E2	1	8	69	69	0	17	4.35
E3	1	8	71	68	3	14	3.85
E4	1	8	66	65	1	20	10.58
E5	1	8	51	49	2	18	6.33
E6	1	8	52	50	2	19	7.74
E7	1	8	50	48	2	24	6.64
E8	1	8	49	47	2	17	5.79
E1	2	8	66	62	4	16	3.24
E2	2	8	66	67	-1	26	2.6
E3	2	8	70	67	3	14	3.68
E5	2	8	51	46	5	18	6.91
E6	2	8	52	50	2	23	9.85
E7	2	8	52	49	3	21	6.87
E1	3	8	66	62	4	16	3.82
E3	3	8	72	69	3	18	4.34
E7	3	8	51	49	2	19	5.87
E1	1	9	66	63	3	16	2.76
E2	1	9	64	61	3	17	4.23
E3	1	9	80	70	10	7	1.29
E4	1	9	68	67	1	14	5.39
E5	1	9	65	50	15	4	0.49
E6	1	9	57	55	2	14	4.73
E7	1	9	55	55	0	18	2.71
E8	1	9	54	51	3	12	3.32
E1	2	9	66	63	3	8	1.68
E2	2	9	66	63	3	14	2.99
E3	2	9	81	67	14	4	0.98
E5	2	9	55	52	3	4	0.43
E6	2	9	53	51	2	14	5.09
E7	2	9	59	55	4	10	1.26
E1	3	9	68	64	4	12	2.7
E3	3	9	74	65	9	19	2.81
E7	3	9	55	53	2	14	4.98
E1	1	10	65	64	1	8	1.6
E2	1	10	70	70	0	18	6.3
E3	1	10	69	68	1	14	3.6
E4	1	10	70	71	-1	14	6.76
E5	1	10	52	51	1	11	3.45
E6	1	10	54	51	3	16	7.21
E7	1	10	53	50	3	21	7.26
E8	1	10	53	50	3	15	5.51
E1	2	10	68	67	1	16	4.03
E2	2	10	68	68	0	20	6.23
E3	2	10	72	69	3	17	2.4
E5	2	10	56	56	0	8	2.42
E6	2	10	53	51	2	14	4.68
E7	2	10	53	51	2	15	4.94
E1	3	10	65	63	2	13	2.91
E3	3	10	72	70	2	18	3.2
E7	3	10	56	54	2	14	4.04
E1	1	11	66	64	2	17	4.31
E2	1	11	67	67	0	22	8.82
E3	1	11	72	70	2	21	3.89
E4	1	11	70	68	2	19	7.67
E5	1	11	51	47	4	14	4.7
E6	1	11	52	50	2	20	10.75
E7	1	11	50	48	2	21	7.95
E8	1	11	49	47	2	15	5.17
E1	2	11	67	66	1	14	3.33
E2	2	11	66	65	1	17	7.49
E3	2	11	69	68	1	23	4.93
E5	2	11	51	49	2	13	4.11
E6	2	11	54	52	2	24	7.8
E7	2	11	51	49	2	22	8.8
E1	3	11	66	65	1	15	5.07
E3	3	11	74	71	3	20	3.7
E7	3	11	50	48	2	17	6.04
E1	1	13	65	62	3	17	2.97
E2	1	13	64	63	1	19	8.51
E3	1	13	71	66	5	16	4.15
E4	1	13	71	68	3	23	6.67
E5	1	13	69	55	14	2	0.37
E6	1	13	57	55	2	10	5.43
E7	1	13	54	51	3	20	4.74
E8	1	13	53	50	3	22	7.05
E1	2	13	65	62	3	10	1.84
E2	2	13	65	64	1	16	5.87
E3	2	13	67	64	3	20	5.77
E5	2	13	55	48	7	8	1.52
E6	2	13	57	54	3	16	6.8
E7	2	13	53	51	2	17	5.52
E1	3	13	72	66	6	8	2.13
E3	3	13	69	66	3	17	3.26
E7	3	13	55	53	2	18	5.54
E1	1	15	67	64	3	15	3.3
E2	1	15	66	66	0	17	5.13
E3	1	15	75	71	4	8	1.84
E4	1	15	69	68	1	19	6.77
E5	1	15	51	49	2	16	4.63
E6	1	15	56	54	2	23	9.83
E7	1	15	52	49	3	17	5.83
E8	1	15	53	50	3	20	7.49
E1	2	15	67	66	1	15	5.02
E2	2	15	69	67	2	18	5.58
E3	2	15	73	70	3	11	1.86
E5	2	15	51	51	0	18	6.05
E6	2	15	57	55	2	22	8.29
E7	2	15	53	51	2	19	5.66
E1	3	15	67	65	2	14	4.11
E3	3	15	71	68	3	16	3.45
E7	3	15	52	50	2	18	5.45
E1	1	16	67	63	4	9	2.28
E2	1	16	65	64	1	19	7.03
E3	1	16	71	68	3	18	3.8
E4	1	16	70	70	0	19	8.44
E5	1	16	64	60	4	13	2.49
E6	1	16	57	53	4	16	7.78
E7	1	16	55	53	2	19	6.25
E8	1	16	53	51	2	20	9.3
E1	2	16	64	64	0	13	5.9
E2	2	16	64	63	1	17	7.66
E3	2	16	71	69	2	16	5.5
E5	2	16	65	55	10	21	3.47
E6	2	16	53	50	3	18	7.73
E7	2	16	54	53	1	16	4.67
E1	3	16	65	64	1	15	5
E3	3	16	75	70	5	16	3.71
E7	3	16	59	55	4	21	5.32
E1	1	17	67	66	1	4	1.65
E2	1	17	63	63	0	17	5.96
E3	1	17	72	69	3	12	3.64
E4	1	17	71	69	2	17	6.06
E5	1	17	52	50	2	12	3.83
E6	1	17	54	52	2	14	5.54
E7	1	17	53	50	3	20	6.59
E8	1	17	54	51	3	15	5.33
E1	2	17	69	67	2	8	2.51
E2	2	17	63	62	1	18	5.84
E3	2	17	75	71	4	20	4.43
E5	2	17	64	55	9	11	1.77
E6	2	17	50	48	2	18	7.86
E7	2	17	55	53	2	19	5.1
E1	3	17	67	66	1	13	3.8
E3	3	17	70	70	0	17	4.45
E7	3	17	52	52	0	21	7.14
E1	1	18	62	64	-2	10	3.39
E2	1	18	63	63	0	15	5.74
E3	1	18	69	68	1	17	3.89
E4	1	18	70	70	0	13	4.35
E5	1	18	52	50	2	12	3.68
E6	1	18	56	53	3	16	6.06
E7	1	18	53	49	4	22	6.35
E8	1	18	54	51	3	14	5.45
E1	2	18	63	63	0	11	3.72
E2	2	18	62	63	-1	15	5.18
E3	2	18	71	69	2	13	3.14
E5	2	18	55	51	4	6	1.24
E6	2	18	54	51	3	17	6.48
E7	2	18	54	51	3	19	5.02
E1	3	18	63	63	0	9	3.59
E3	3	18	72	68	4	22	3
E7	3	18	54	52	2	21	5.7
E1	1	19	65	64	1	12	3.86
E2	1	19	63	61	2	17	7.54
E3	1	19	71	68	3	15	2.96
E4	1	19	69	68	1	14	6.83
E5	1	19	51	50	1	12	3.86
E6	1	19	57	54	3	14	5.97
E7	1	19	52	50	2	23	5.96
E8	1	19	54	51	3	15	4.9
E1	2	19	65	63	2	14	4.83
E2	2	19	65	64	1	20	5.94
E3	2	19	69	68	1	11	3.23
E5	2	19	65	55	10	7	1.53
E6	2	19	53	50	3	16	5.67
E7	2	19	53	52	1	21	5.17
E1	3	19	64	64	0	14	4.69
E3	3	19	75	71	4	19	4.01
E7	3	19	57	54	3	18	5.32
